Company name;First name;Last name;Website;Email address;Country;City;Province/State;Phone number;Niche
GreenWorks Inspections & Engineering;;;https://greenworksinspections.com/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business;;US;Lubbock;Texas;(806) 223-1618;
SERVPRO of Southwest Lubbock;;;https://www.servpro.com/locations/tx/servpro-of-southwest-lubbock?utm_medium=organic&utm_source=gbp;;US;Lubbock;Texas;(806) 780-6311;
King Consultants, Inc;;;http://kingcompanies.net/;;US;Lubbock;Texas;(806) 763-6157;
Texas Mold Remediation;;;https://www.texasmoldremediation.com/;;USA;;;(806) 891-3648;
Excel Construction Group;;;https://www.excelcg.com/texas/lubbock-county/lubbock/;;US;Lubbock;Texas;(806) 454-3300;
Dirt City Construction;;;http://www.dirtcityconstruction.com/;;US;Lubbock;Texas;(806) 782-1310;
Gold Standard Restoration;;;https://www.goldstandardres.com/;;USA;;;(806) 853-7829;
The Roofer Direct;;;https://therooferdirect.com/;;US;Lubbock;Texas;(806) 782-2862;
Assist-2-Sell;;;https://assist2sell.com/;;US;Lubbock;Texas;(806) 797-7355;
CT Construction;;;http://www.callctconstruction.com/;;US;Lubbock;Texas;(806) 792-6677;
Carpet Tech of Lubbock, TX;;;https://www.carpettech.com/;;US;Lubbock;Texas;(806) 614-4795;
G/A Environmental - Asbestos Consulting and Mold Inspection;;;http://www.g-aenvironmental.com/;;US;Lubbock;Texas;(806) 787-8209;
1 Priority Environmental Services - An EIS Company;;;https://go1priority.com/lubbock-the-panhandle-and-new-mexico/;;US;Lubbock;Texas;(806) 744-9802;
GermBlast;;;http://www.germblast.com/;;US;Lubbock;Texas;(877) 771-3558;
V-tech Environmental Services;;;http://www.v-teches.com/;;US;Lubbock;Texas;(806) 748-1700;
First Response Water and Mold Removal;;;https://www.firstresponsewaterandmold.com/;;US;Cape Coral;Florida;(239) 363-6442;
Apex Mold Experts;;;http://www.apexwaterdamagemoldexperts.com/;;US;Cape Coral;Florida;(239) 233-9552;
Water Damage Cleanup Team;;;https://waterdamagecleanupteam.com/?utm_source=NEXT&utm_medium=Google_website;;US;Cape Coral;Florida;(239) 671-3532;
SERVPRO of Cape Coral South;;;https://www.servpro.com/locations/fl/servpro-of-cape-coral-south?utm_medium=organic&utm_source=gbp;;US;Cape Coral;Florida;(239) 573-5911;
